Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-1008,Agapitus of Rome,"Agapetus I; Agapitus, Pope of Rome",Male,Hierarch,Clergy - Bishop,,,,Faith; Zeal,,Italy / Rome,Western (pre-schism),Byzantine,6th,Apr 17,"Holy Hierarch Agapitus, pray to God for us.",,,"Agapitus, Pope of Rome, was a zealous defender of the Orthodox faith who was sent on a mission to Constantinople and contended against heresy there before his repose in 536.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1009,Adrian of Corinth,Martyr Adrian,Male,Martyr,Layperson,,,Imprisonment; Persecution,Courage; Faith,,Greece,Pan-Orthodox,Pre-Nicene,3rd,Apr 17,"Holy Martyr Adrian, pray to God for us.",,,"Adrian, a Christian of Corinth, was imprisoned and put to death for refusing to offer sacrifice to idols during the persecution under the emperor Decius.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1010,Makarios of Corinth,Macarius Notaras of Corinth; Makarios Notaras; Michael Notaras,Male,Hierarch,Clergy - Bishop,,Scholar; Writer,,Wisdom; Discernment,,Greece,Greek,Modern,18th,Apr 17,"Holy Hierarch Makarios, pray to God for us.",,,"Makarios Notaras, archbishop of Corinth, was a leader of the Kollyvades movement and, together with St Nikodemos of the Holy Mountain, gathered and edited the Philokalia, the great anthology of Orthodox spiritual writings. He reposed in 1805.",,,"The Philokalia (compiler, with St Nikodemos)",,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org (Macarius of Corinth)"
OS-1011,Zosimas of Solovki,Zosima of Solovki; Zosimas the Abbot of Solovki,Male,Venerable (Monastic),Monastic,,,,Humility; Obedience; Perseverance,,Rus' / Russia,Russian,Byzantine,15th,Apr 17; Aug 8,"Venerable Father Zosimas, pray to God for us.",,,"Zosimas, abbot of Solovki, established cenobitic monastic life on the remote Solovki islands in the Russian North and became one of the great luminaries of northern Russian monasticism. He reposed in 1478.",Principal feast is Aug 8 (his repose); Apr 17 is a secondary commemoration. Likely already present in the database under his principal feast.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org (Zosima of Solovki)"
OS-1012,Martyr Victor of Nicomedia and Companions,Zoticus; Acindynus; Zeno; Severian; Caesarius,Male,Martyr,Layperson,,,Persecution; Torture,Faith; Courage,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Apr 18,"Holy Martyrs, pray to God for us.",,,A company of martyrs of Nicomedia who suffered under the emperor Diocletian during the persecution of Christians.,"Commemorated with his companions Zoticus, Acindynus, Zeno, Severian, and Caesarius.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1013,"Saint Cosmas, Bishop of Chalcedon, and Auxentius",Cosmas of Chalcedon; Auxentius,Male,Hierarch; Confessor; Venerable (Monastic),Clergy - Bishop,,,Persecution,Faith; Perseverance,,Asia Minor,Pan-Orthodox,Byzantine,9th,Apr 18,"Holy Hierarch Cosmas, pray to God for us.",,,"Cosmas received monastic tonsure in his youth and was later consecrated Bishop of Chalcedon, suffering with his fellow ascetic Auxentius for the veneration of the holy icons during the iconoclast oppression.",Commemorated together with his fellow ascetic Auxentius.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1014,New Martyr John the New of Epirus,John Kulikos; John of Ioannina,Male,New Martyr,Layperson,Single Adult,Merchant,Persecution,Faith; Courage,,Greece,Pan-Orthodox,Post-Byzantine,16th,Apr 18,"Holy New-Martyr John, pray to God for us.",,,"Born in Ioannina in Epirus and orphaned young, he kept a trade stall in Constantinople and was martyred for refusing to deny the Orthodox faith.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1015,"Venerable Euthymius, Enlightener of Karelia",Euthymius of Karelia; Anthony; Felix,Male,Venerable (Monastic); Hermit; Missionary,Monastic,,,,Faith; Zeal,Missionary Work,Rus' / Russia,Russian,Byzantine,15th,Apr 18,"Venerable Father Euthymius, pray to God for us.",,,"Born in the second half of the fourteenth century, he travelled north around the year 1400 to live as an anchorite and brought the Christian faith to Karelia and Finland.",Commemorated together with the righteous Anthony and Felix.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1016,Saint Basil Ratishvili of Georgia,Basil Ratishvili,Male,Venerable (Monastic),Monastic,,,,Discernment; Faith,,Georgia,Georgian,Byzantine,13th,Apr 18,"Venerable Father Basil, pray to God for us.",,,"A thirteenth-century Georgian monastic, uncle of Catholicos Ekvtime III, who labored with the Georgian fathers at the Iveron Monastery on Mount Athos and was endowed with the gift of prophecy.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1017,John of the Ancient Caves,John of the Old Caves; John the Hermit,Male,Venerable (Monastic); Hermit,Monastic,,,,,,Palestine / Holy Land,Pan-Orthodox,Byzantine,8th,Apr 19,"Venerable Father John, pray to God for us.",,,An ascetic of the Lavra of Saint Chariton near Bethlehem who lived in the cave of the Old (Ancient) Lavra and is reckoned among its venerable fathers.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1018,"Martyrs Christopher, Theonas, and Anthony",Christopher; Theonas; Antony; Antonius,Male,Martyr,Layperson,,Soldier,,Courage,,Italy / Rome,Pan-Orthodox,Pre-Nicene,4th,Apr 19,"Holy Martyrs Christopher, Theonas, and Anthony, pray to God for us.",,,"Soldiers at Rome under Diocletian who, moved by the witness of the Great Martyr George, confessed Christ and were martyred for the faith.",Listed as one commemoration; individual names kept in Also Known As.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1019,Paphnutius of Jerusalem,Paphnutius the Hieromartyr,Male,Hieromartyr,Clergy - Bishop,,,Torture,Faith,,Palestine / Holy Land,Pan-Orthodox,Pre-Nicene,,Apr 19,"Holy Hieromartyr Paphnutius, pray to God for us.",,,A bishop of the Jerusalem region who endured torture and was beheaded during the pagan persecutions of the early Church.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1020,"George the Confessor, Bishop of Antioch in Pisidia",George of Pisidia; George the Confessor,Male,Confessor; Hierarch,Clergy - Bishop; Monastic,,,Exile,Faith; Courage,,Asia Minor,Pan-Orthodox,Byzantine,8th,Apr 19,"Holy Hierarch George, pray to God for us.",,,"A monk made bishop of Antioch in Pisidia who, as a defender of the holy icons, refused to comply with the iconoclast council and was exiled, confessing the faith into old age.",Iconodule confessor of the iconoclast era; exiled under Constantine V and again resisted iconoclasm under Leo V.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-1021,"Tryphon, Patriarch of Constantinople",Tryphon the Patriarch,Male,Hierarch; Venerable (Monastic),Clergy - Bishop; Monastic,,,,Humility; Meekness; Patience,,Constantinople,Pan-Orthodox,Byzantine,10th,Apr 19,"Holy Hierarch Tryphon, pray to God for us.",,,"A monk renowned for meekness who was made Patriarch of Constantinople (928-931); deceived into resigning when the emperor's young son came of age, he returned to his monastery and reposed as a simple monk in 933.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; orthodoxwiki.org"
OS-1022,"Nikephoros, Abbot of Catabad",Nicephorus of Katabados,Male,Venerable (Monastic),Monastic,,,,,,Constantinople,Pan-Orthodox,Byzantine,,Apr 19,"Venerable Father Nikephoros, pray to God for us.",,,A wealthy nobleman who renounced his possessions to embrace monastic life and became abbot of the monastery of Catabad.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1023,Agathangelus of Esphigmenou,Agathangelos the New Martyr,Male,New Martyr; Venerable-Martyr,Monastic,,Sailor,Torture,Courage; Faith,,Asia Minor,Greek,Post-Byzantine,19th,Apr 19,"Holy New Martyr Agathangelus, pray to God for us.",,,A former sailor who became a monk of Esphigmenou Monastery on Mount Athos and was martyred for refusing to embrace Islam.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1024,Simeon of Philotheou,Simeon the Barefoot; Symeon of Philotheou,Male,Venerable (Monastic); Ascetic,Monastic,,,,Self-Control; Obedience,,Mt. Athos,Greek,Post-Byzantine,,Apr 19,"Venerable Father Simeon, pray to God for us.",,,"Tonsured a monk at the age of fifteen at Philotheou Monastery on Mount Athos, he led a life of strict asceticism, going barefoot in his labors.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1025,Theodore Trichinas,The Hair-shirt Wearer,Male,Venerable (Monastic),Monastic,Single Adult,,,Self-Control,Healing,Constantinople,Pan-Orthodox,Byzantine,5th,Apr 20,"Venerable Father Theodore, pray to God for us.",,,"Born to wealthy parents in Constantinople, he forsook his comforts for a strict ascetic life in a Thracian monastery, wearing only a rough hair shirt, from which he received his surname.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1026,Alexander of Oshevensk,Abbot of Oshevensk; Alexander Oshevensky,Male,Venerable (Monastic),Clergy - Priest; Monastic,Single Adult,,,,,Rus' / Russia,Russian,Post-Byzantine,15th,Apr 20,"Venerable Father Alexander, pray to God for us.",,,A fifteenth-century Russian monastic who founded the Dormition Monastery at Oshevensk and labored to spread Christian enlightenment through the Kargopol region.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1027,Gabriel of Bialystok,Gabriel of Zabludow; Gabriel of Zverki,Male,Martyr; Child-Saint,Layperson,Child,,,,,Baltics,Russian,Post-Byzantine,17th,Apr 20,"Holy Martyr Gabriel, pray to God for us.",,,"A young child of the Bialystok region (in the historic Grand Duchy of Lithuania) who died and is venerated as a martyr in the Russian, Belarusian, and Polish Orthodox tradition; he was glorified in 1820 and his relics are a focus of local pilgrimage.",Flagged for clergy/editorial and source review before publication: the historical circumstances of his death are contested; only the fact of his death as a child and his canonical veneration as a martyr are stated here.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-1028,Gregory of Antioch,Patriarch of Antioch,Male,Hierarch,Clergy - Bishop,,,,,,Syria,Pan-Orthodox,Byzantine,6th,Apr 20,"Holy Hierarch Gregory, pray to God for us.",,,A Patriarch of Antioch remembered for his pastoral leadership of the Church of Antioch.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1029,Anastasius of Sinai,Anastasius the Sinaite; Abbot of Sinai,Male,Venerable (Monastic),Clergy - Priest; Monastic,Single Adult,Writer,,Wisdom,,Sinai,Pan-Orthodox,Byzantine,7th,Apr 20,"Venerable Father Anastasius, pray to God for us.",,,"Raised in piety from his youth, he became a renowned ascetic and abbot on Mount Sinai, esteemed as a teacher and defender of the faith.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1030,Betranion of Tomis,Bretanion; Vetranion; Bishop of Lesser Scythia,Male,Hierarch; Confessor,Clergy - Bishop,,,,Courage,,Scythia,Pan-Orthodox,Byzantine,4th,Apr 20,"Holy Hierarch Betranion, pray to God for us.",,,"Bishop of Tomis in Lesser Scythia who resisted the Arian pressure of the Emperor Valens, defending the Nicene faith and enduring a brief exile before being restored by popular demand.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-1031,Theotimus of Tomis,Bishop of Lesser Scythia; Theotimus the Philosopher,Male,Hierarch,Clergy - Bishop,,Writer; Scholar,,Wisdom,,Scythia,Pan-Orthodox,Byzantine,5th,Apr 20,"Holy Hierarch Theotimus, pray to God for us.",,,"Bishop of Tomis in Lesser Scythia, honored as a teacher and held by tradition to have instructed Saints John Cassian and Germanus in the monastic life.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1032,Joseph of Serbia,,Male,Hierarch,Clergy - Bishop,,,,,,Serbia,Serbian,Unknown,,Apr 20,"Holy Hierarch Joseph, pray to God for us.",,,A saint venerated in the Serbian Orthodox tradition; few details of his life are recorded.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1033,Zacchaeus the Publican,"Apostle Zacchaeus; Zacchaeus, Bishop of Caesarea",Male,Apostle,Clergy - Bishop,,,Repentance from grave sin,Repentance,,Palestine / Holy Land,Pan-Orthodox,Apostolic Age,1st,Apr 20,"Holy Apostle Zacchaeus, pray to God for us.",,,"The wealthy chief tax-collector of Jericho who climbed a sycamore tree to see Christ and, receiving Him into his house, repented and made fourfold restitution; tradition counts him among the Seventy and as a bishop of Caesarea.",Also commemorated among the Seventy Apostles (Jan 4).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1034,Athanasius of Meteora,Athanasius the Meteorite; Andronikos,Male,Venerable (Monastic),Monastic,Single Adult,,,Humility,,Greece,Greek,Byzantine,14th,Apr 20,"Venerable Father Athanasius, pray to God for us.",,,"Born Andronikos in Hypate, he founded the Great Meteoron monastery atop the rocks of Meteora in Thessaly and gave it a cenobitic rule patterned on Mount Athos; his disciple and successor Joasaph co-built the community.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-1035,"Hieromartyr Januarius, Bishop of Benevento, and his Companions",Januarius of Benevento; Gennarius; Proculus the Deacon; Sossius the Deacon; Faustus the Deacon; Desiderius the Reader; Eutychius; Acution; Acutius; Martyrs at Pozzuoli; Martyrs at Puteoli,Male,Hieromartyr; Martyr,Clergy - Bishop,,,Persecution; Torture,Courage; Faith,,Italy / Rome,Western (pre-schism); Pan-Orthodox,Pre-Nicene,4th,Apr 21,"Holy Hieromartyr Januarius and your companions, pray to God for us.",,,"Januarius, Bishop of Benevento, was martyred with his companions near Pozzuoli around the year 305 during the persecution of Diocletian. His fellow sufferers included the deacons Proculus, Sossius, and Faustus, Desiderius the reader, and the laymen Eutychius and Acution.",Cluster of seven martyrs commemorated as one. Januarius is widely venerated in the West (San Gennaro of Naples).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1036,"Hieromartyr Theodore of Perge in Pamphylia, and his Companions",Theodore of Perge; Philippa (his mother); Dioscorus; Socrates; Dionysius; Martyrs of Perge,Male & Female,Hieromartyr; Martyr,Clergy - Priest,Parent,Soldier,Persecution; Torture,Courage; Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,2nd,Apr 19; Apr 21,"Holy Hieromartyr Theodore and your companions, pray to God for us.",,,"Theodore of Perge in Pamphylia suffered for Christ during the reign of Antoninus Pius (138-161), together with his mother Philippa and the martyrs Dioscorus, Socrates, and Dionysius. Socrates and Dionysius were soldiers who were converted by witnessing his steadfastness.","Cluster commemorated as one; principal feast Apr 21, with a secondary commemoration of 'Theodore and those with him' on Apr 19. Vocation 'Soldier' applies to the companions Socrates and Dionysius, not the whole group.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1037,"Martyrs Isaac, Apollos, and Quadratus of Nicomedia",Isaac of Nicomedia; Apollos of Nicomedia; Apollo; Quadratus of Nicomedia; Codratus,Male,Martyr,Layperson,,,Persecution; Torture,Courage; Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Apr 21,"Holy Martyrs Isaac, Apollos, and Quadratus, pray to God for us.",,,"Isaac, Apollos, and Quadratus were court officials at Nicomedia who, having witnessed the courageous suffering of the Great Martyr George, openly confessed Christ and were martyred under Diocletian.",Cluster of three commemorated as one.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1038,"Saint Maximian, Patriarch of Constantinople","Maximianus of Constantinople; Maximian, Archbishop of Constantinople",Male,Hierarch,Clergy - Bishop,,,,Humility; Meekness,,Constantinople,Pan-Orthodox,Byzantine,5th,Apr 21,"Holy Hierarch Maximian, pray to God for us.",,,"Maximian, born in Rome to wealthy and pious parents, lived an ascetic life and was ordained presbyter. He became Patriarch of Constantinople in 431 following the deposition of Nestorius, and governed the Church peaceably until his repose on April 21, 434.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1039,"Saint Theodore the Sykeote, Bishop of Anastasiopolis",Theodore of Sykeon,Male,Hierarch; Venerable (Monastic); Wonderworker,Clergy - Bishop; Monastic,,,,Humility; Discernment,Healing,Asia Minor,Pan-Orthodox,Byzantine,7th,Apr 22,"Holy Hierarch Theodore, pray to God for us.",,,"An ascetic of Sykeon in Galatia who became bishop of Anastasiopolis, renowned for his strict monastic life, gift of healing, and casting out of unclean spirits; he reposed in 613.",Drawn from the OCA synaxarion.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
